<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.05.16	17:21:00	8606.2	8607.6	8606.1	8607.5	60	0	1
2022.05.16	17:22:00	8607.4	8607.7	8606.5	8606.7	60	0	1
2022.05.16	17:23:00	8606.8	8607.1	8606.3	8606.7	60	0	1
2022.05.16	17:24:00	8606.6	8608.0	8606.4	8607.9	60	0	1
2022.05.16	17:25:00	8607.8	8608.6	8607.3	8607.3	60	0	1
2022.05.16	17:26:00	8607.4	8608.4	8607.1	8608.1	60	0	1
2022.05.16	17:27:00	8608.2	8608.8	8607.5	8607.7	60	0	1
2022.05.16	17:28:00	8607.8	8607.9	8606.8	8607.5	60	0	1
2022.05.16	17:29:00	8607.6	8608.2	8607.5	8608.1	60	0	1
2022.05.16	17:30:00	8608.2	8609.3	8608.1	8609.1	60	0	1
2022.05.16	17:31:00	8609.0	8609.4	8608.5	8609.3	60	0	1
2022.05.16	17:32:00	8609.2	8609.6	8608.7	8609.1	60	0	1
2022.05.16	17:33:00	8609.2	8609.3	8608.5	8608.9	60	0	1
2022.05.16	17:34:00	8608.8	8608.9	8608.0	8608.5	60	0	1
2022.05.16	17:35:00	8608.4	8608.4	8606.9	8606.9	60	0	1
2022.05.16	17:36:00	8607.0	8607.2	8606.5	8606.9	60	0	1
2022.05.16	17:37:00	8607.0	8607.3	8605.9	8606.3	60	0	1
2022.05.16	17:38:00	8606.4	8606.9	8605.9	8606.5	60	0	1
2022.05.16	17:39:00	8606.6	8607.4	8606.3	8606.3	60	0	1
2022.05.16	17:40:00	8606.4	8607.1	8606.4	8606.9	60	0	1
2022.05.16	17:41:00	8606.8	8607.1	8606.4	8606.5	60	0	1
2022.05.16	17:42:00	8606.4	8607.5	8606.3	8606.3	60	0	1
2022.05.16	17:43:00	8606.4	8607.4	8606.3	8606.5	60	0	1
2022.05.16	17:44:00	8606.4	8606.5	8604.9	8604.9	60	0	1
2022.05.16	17:45:00	8604.8	8606.1	8604.6	8605.5	60	0	1
2022.05.16	17:46:00	8605.6	8605.8	8603.9	8604.3	60	0	1
2022.05.16	17:47:00	8604.2	8604.5	8603.5	8603.9	60	0	1
2022.05.16	17:48:00	8603.8	8604.8	8603.5	8604.7	60	0	1
2022.05.16	17:49:00	8604.8	8605.5	8604.6	8605.5	60	0	1
2022.05.16	17:50:00	8605.6	8606.3	8605.5	8606.3	60	0	1
2022.05.16	17:51:00	8606.4	8607.3	8606.4	8606.9	60	0	1
2022.05.16	17:52:00	8607.0	8607.4	8606.6	8606.7	60	0	1
2022.05.16	17:53:00	8606.6	8607.3	8606.4	8606.9	60	0	1
2022.05.16	17:54:00	8606.8	8608.4	8606.7	8607.5	60	0	1
2022.05.16	17:55:00	8607.4	8607.4	8606.1	8606.3	60	0	1
2022.05.16	17:56:00	8606.2	8606.3	8605.2	8605.5	60	0	1
2022.05.16	17:57:00	8605.6	8606.1	8605.4	8605.7	60	0	1
2022.05.16	17:58:00	8605.8	8606.1	8605.2	8605.3	60	0	1
2022.05.16	17:59:00	8605.2	8605.9	8605.0	8605.9	60	0	1
2022.05.16	18:00:00	8605.8	8606.5	8605.3	8605.3	60	0	1
2022.05.16	18:01:00	8605.4	8605.6	8604.9	8605.1	60	0	1
2022.05.16	18:02:00	8605.2	8605.4	8604.1	8604.5	60	0	1
